条件,指标,n运动员,n高心率,n低心率,Kruskal_H,原始p,p原因,标注
,正确率,24,23,22,3.6951999180242776,0.1576149951786126,,不显著
,最大正确序列长度,24,23,22,10.535974562211846,0.005153973640687098,,显著
,平均首次点击RT(ms),24,23,22,0.2057496378857877,0.9022399097582946,,不显著
,平均反应时长(ms),24,23,22,2.583812060655191,0.2747466083340647,,不显著
