Block,组别A,组别B,nA,nB,chi2,原始p,Cramers_V,标注
1,运动员,非运动员高心率,24,23,11.327497944399713,0.010080592259324577,0.14802045146216544,显著
1,运动员,非运动员低心率,24,22,26.329451490931106,8.136483829012714e-06,0.22811069486657584,显著
1,非运动员高心率,非运动员低心率,23,22,3.584270845177748,0.3099958205494274,0.08509377887001662,不显著
2,运动员,非运动员高心率,4,4,4.338345864661655,0.22717069499881254,0.22203464780457266,不显著
2,运动员,非运动员低心率,4,5,0.7057894736842102,0.8718413689191478,0.0844345107338866,不显著
2,非运动员高心率,非运动员低心率,4,5,3.876480414746545,0.27511462847510726,0.19787968017389423,不显著
