hr3,metric,n,mean,sd,median,min,max
运动员,cash_rate,24,0.8096264367816093,0.07514984714621196,0.8275862068965517,0.6551724137931034,0.9310344827586208
运动员,explosion_rate,24,0.1903735632183908,0.07514984714621194,0.1724137931034483,0.0689655172413793,0.3448275862068966
运动员,mean_pump_count,24,9.094827586206897,1.5356320342822531,9.767241379310343,5.396551724137931,10.982758620689657
运动员,mean_trial_duration_ms,24,5913.977011494252,665.2215031178545,5694.724137931034,4478.068965517241,7431.327586206897
运动员,total_score_final,24,399.9166666666667,54.997167252478576,410.0,266.0,488.0
非运动员低心率,cash_rate,22,0.8001567398119122,0.07131845984138141,0.7931034482758621,0.6206896551724138,0.913793103448276
非运动员低心率,explosion_rate,22,0.19984326018808776,0.07131845984138141,0.2068965517241379,0.0862068965517241,0.3793103448275862
非运动员低心率,mean_pump_count,22,9.221003134796238,1.1184787635243285,9.293103448275861,7.051724137931035,11.827586206896552
非运动员低心率,mean_trial_duration_ms,22,5689.433385579938,790.3832716690631,5890.5,4012.637931034483,7276.517241379311
非运动员低心率,total_score_final,22,411.6363636363636,45.603409912757556,430.5,304.0,497.0
非运动员高心率,cash_rate,22,0.7852664576802507,0.07481878390776364,0.8103448275862069,0.5862068965517241,0.896551724137931
非运动员高心率,explosion_rate,22,0.2147335423197492,0.07481878390776364,0.1896551724137931,0.1034482758620689,0.4137931034482758
非运动员高心率,mean_pump_count,22,9.275862068965516,1.4181118705486042,9.620689655172413,6.482758620689655,11.39655172413793
非运动员高心率,mean_trial_duration_ms,22,5749.327586206897,814.0041342776722,5742.793103448275,4003.2413793103447,7268.775862068966
非运动员高心率,total_score_final,22,398.90909090909093,53.51449211008982,385.0,294.0,495.0
