metric,term,estimate,se_cluster,z_or_t,raw_p,ci_low,ci_high,n_rows,n_subjects,r2
G_lite,Intercept,0.09888174033944583,0.160065588134307,0.6177576423014587,0.5388935112675586,-0.22079131355263995,0.41855479423153163,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr],0.12267259276525705,0.18175986270878636,0.6749157428766422,0.502123019381641,-0.24032691927458627,0.48567210480510037,990,66,0.10164962526641708
G_lite,group[nonathlete_low_hr],-0.3243513837007882,0.2722746628727743,-1.1912653945782232,0.23788124122611282,-0.8681214344186585,0.21941866701708213,990,66,0.10164962526641708
G_lite,stage[exercise1],0.05213971523199136,0.1614989634849443,0.3228486060026761,0.7478461640830723,-0.2703959869098069,0.37467541737378957,990,66,0.10164962526641708
G_lite,stage[exercise2],-0.1885689192681964,0.24408647496761213,-0.7725496436999127,0.44258906103818463,-0.6760432713517904,0.2989054328153976,990,66,0.10164962526641708
G_lite,load[2],0.08111346461070691,0.190008025862143,0.4268949390040891,0.6708665497322203,-0.2983587667373071,0.4605856959587209,990,66,0.10164962526641708
G_lite,load[3],0.025908126714563575,0.18693505796604573,0.13859426367883032,0.8901992667166869,-0.34742696395688294,0.39924321738601004,990,66,0.10164962526641708
G_lite,load[4],-0.07637446859566949,0.17175835187848637,-0.4446623279763538,0.6580409272484103,-0.4193995842151275,0.26665064702378855,990,66,0.10164962526641708
G_lite,load[5],-0.10614346148993337,0.1649179649888813,-0.6436136990720781,0.5220903929738535,-0.4355073811440935,0.22322045816422675,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:stage[exercise1],-0.45084942559087665,0.24779706558359377,-1.8194300425998533,0.07345164203626761,-0.9457343388561712,0.04403548767441795,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:stage[exercise2],0.17396683349006004,0.2635053933018379,0.6602021738916971,0.5114569338116947,-0.3522897765387848,0.7002234435189049,990,66,0.10164962526641708
G_lite,group[nonathlete_low_hr]:stage[exercise1],-0.048997179736007125,0.24649881245182703,-0.19877247784137939,0.8430611613983612,-0.5412893024571617,0.44329494298514743,990,66,0.10164962526641708
G_lite,group[nonathlete_low_hr]:stage[exercise2],0.44612558523362805,0.3355769229826771,1.329428678433462,0.18835372001107265,-0.2240678088366202,1.1163189793038764,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:load[2],-0.30083732435303123,0.22670244559913827,-1.3270140229760925,0.18914682626634755,-0.7535933723842463,0.15191872367818376,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:load[3],-0.20565552352005184,0.22775629389015495,-0.9029630751685741,0.3698796606376239,-0.6605162519229504,0.2492052048828467,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:load[4],-0.27710719551983337,0.1925105356022573,-1.4394391177237165,0.15482483825103263,-0.66157728393595,0.10736289289628315,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:load[5],-0.3754259742973685,0.22201966729296438,-1.69095818796079,0.09563490399048603,-0.8188298682567279,0.0679779196619909,990,66,0.10164962526641708
G_lite,group[nonathlete_low_hr]:load[2],-0.04869932534282535,0.30725852675636317,-0.15849625348702162,0.8745571773868895,-0.662336976804637,0.5649383261189862,990,66,0.10164962526641708
G_lite,group[nonathlete_low_hr]:load[3],-0.031081424137716807,0.29255061753499584,-0.10624289362164395,0.9157168533153311,-0.6153453525403474,0.5531825042649139,990,66,0.10164962526641708
G_lite,group[nonathlete_low_hr]:load[4],0.011784692575077707,0.2766797861689566,0.04259325460039678,0.9661563439737479,-0.5407829968687391,0.5643523820188946,990,66,0.10164962526641708
G_lite,group[nonathlete_low_hr]:load[5],0.06684534195108946,0.24370732900478348,0.27428531683500346,0.7847351988132603,-0.41987180335732566,0.5535624872595046,990,66,0.10164962526641708
G_lite,stage[exercise1]:load[2],-0.05358251567574622,0.23118516818877366,-0.23177315437465068,0.8174423319279124,-0.5152911789235272,0.40812614757203475,990,66,0.10164962526641708
G_lite,stage[exercise1]:load[3],0.14875357362672292,0.21963871684549782,0.6772648090607897,0.5006414122436964,-0.28989523393599814,0.587402381189444,990,66,0.10164962526641708
G_lite,stage[exercise1]:load[4],0.277872307688301,0.23135445386723125,1.2010674661477028,0.23408343122486497,-0.18417444240527547,0.7399190577818775,990,66,0.10164962526641708
G_lite,stage[exercise1]:load[5],0.3616494470470037,0.21210246949954006,1.7050694784474818,0.09295686437413148,-0.0619484352540865,0.7852473293480939,990,66,0.10164962526641708
G_lite,stage[exercise2]:load[2],0.2731362213817002,0.2721529977671004,1.0036127605525815,0.31928691256033803,-0.27039084734150026,0.8166632901049007,990,66,0.10164962526641708
G_lite,stage[exercise2]:load[3],0.3409908924578874,0.28188978563755873,1.2096603347533785,0.2307904524826576,-0.22198188442737687,0.9039636693431516,990,66,0.10164962526641708
G_lite,stage[exercise2]:load[4],0.6435007746212205,0.2507668255200264,2.566131996474271,0.012597709441106388,0.14268484120805247,1.1443167080343883,990,66,0.10164962526641708
G_lite,stage[exercise2]:load[5],0.6738130813685386,0.25286067181907473,2.664760306619216,0.009706386238128887,0.16881544813719485,1.1788107145998823,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:stage[exercise1]:load[2],0.30649800771790253,0.31809715868393507,0.9635358234131303,0.3388497504395225,-0.32878588644157075,0.9417819018773759,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:stage[exercise1]:load[3],0.20654056153516961,0.31563342446161574,0.654368471550411,0.5151831904265821,-0.423822915612707,0.8369040386830463,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:stage[exercise1]:load[4],0.2726591591593722,0.3117727615432331,0.874544517005739,0.3850417499342612,-0.3499940417226792,0.8953123600414237,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:stage[exercise1]:load[5],0.3347292857983216,0.31661485469887984,1.057212827606177,0.2943278582325351,-0.29759424288083736,0.9670528144774806,990,66,0.10164962526641708
G_lite,group[nonathlete_high_hr]:stage[exercise2]:load[2],-0.24706984255654768,0.33261798253634955,-0.7428036231611354,0.46027676326174777,-0.9113538244927608,0.4172141393796654,990,66,0.10164962526641708
