metric,target_count,term,estimate,se_cluster,z_or_t,raw_p,ci_low,ci_high,n_rows,n_subjects,r2,group_stage_joint_raw_p
G_lite,1,Intercept,0.09888174033945031,0.15974156839285775,0.6190107016870346,0.5380728308505675,-0.22014420144391983,0.4179076821228204,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,group[nonathlete_high_hr],0.12267259276524964,0.1813919273867386,0.67628474173332,0.5012592735684254,-0.23959210169509568,0.4849372872255949,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,group[nonathlete_low_hr],-0.32435138370079675,0.27172349902240417,-1.1936817568879212,0.23694091228774064,-0.8670206841993576,0.21831791679776413,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,stage[exercise1],0.052139715231981965,0.161172042170985,0.3235034720020965,0.7473525218473266,-0.2697430799606468,0.3740225104246107,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,stage[exercise2],-0.18856891926820843,0.2435923722848805,-0.7741166831269974,0.44166841850133415,-0.675056480153481,0.29791864161706405,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,group[nonathlete_high_hr]:stage[exercise1],-0.4508494255908658,0.24729545157612462,-1.8231205738617537,0.07288404408057661,-0.9447325465064633,0.04303369532473167,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,group[nonathlete_high_hr]:stage[exercise2],0.17396683349007366,0.26297198102750924,0.6615413277503324,0.5106035903530772,-0.3512244786649078,0.6991581456450552,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,group[nonathlete_low_hr]:stage[exercise1],-0.04899717973599475,0.24599982648981633,-0.19917566786585963,0.8427470722528717,-0.5402927586766623,0.4422983992046728,198,66,0.06616928944938383,0.06626062805142105
G_lite,1,group[nonathlete_low_hr]:stage[exercise2],0.44612558523364454,0.33489761677395496,1.3321252910998314,0.18747097321182354,-0.2227111406557587,1.1149623111230478,198,66,0.06616928944938383,0.06626062805142105
G_lite,2,Intercept,0.17999520495014915,0.16266626294081066,1.1065306456056223,0.2725753598139546,-0.14487175518540513,0.5048621650857035,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,group[nonathlete_high_hr],-0.17816473158777058,0.19777830525630632,-0.9008305099838024,0.37100410026849795,-0.5731552824726653,0.21682581929712424,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,group[nonathlete_low_hr],-0.3730507090436123,0.2207658818153177,-1.6898023642787743,0.09585702882947554,-0.8139506204965722,0.06784920240934755,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,stage[exercise1],-0.0014428004437528376,0.19257112413459992,-0.007492299015424424,0.994045014066837,-0.3860338925146246,0.38314829162711894,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,stage[exercise2],0.08456730211350703,0.21321653539816585,0.39662637775997983,0.6929421923602074,-0.3412555234261755,0.5103901276531896,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,group[nonathlete_high_hr]:stage[exercise1],-0.1443514178729763,0.2530125538335426,-0.5705306542534065,0.5702849311789279,-0.6496523804330168,0.3609495446870641,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,group[nonathlete_high_hr]:stage[exercise2],-0.07310300906649264,0.2700098927897906,-0.27074196545607737,0.7874473810729363,-0.6123500015978443,0.4661439834648589,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,group[nonathlete_low_hr]:stage[exercise1],0.11587591851619211,0.274760911375152,0.4217336372056864,0.6746109844972343,-0.43285951333545963,0.6646113503678439,198,66,0.060662295338968164,0.7272697260231266
G_lite,2,group[nonathlete_low_hr]:stage[exercise2],-0.07992603643852982,0.29322890754865666,-0.27257215909133164,0.78604616695657,-0.6655446035403262,0.5056925306632666,198,66,0.060662295338968164,0.7272697260231266
G_lite,3,Intercept,0.12478986705401066,0.12816903272317434,0.9736350848768425,0.3338472702367077,-0.131181366879376,0.38076110098739735,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,group[nonathlete_high_hr],-0.08298293075479488,0.16782895847968254,-0.49444941746951754,0.6226558600308708,-0.41816050586051645,0.25219464435092676,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,group[nonathlete_low_hr],-0.35543280783850933,0.19808951872841443,-1.7943039597456765,0.07741507671402456,-0.7510448949461536,0.04017927926913489,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,stage[exercise1],0.20089328885871238,0.1369047272891839,1.4673948287728986,0.14709089347198165,-0.07252433184858603,0.4743109095660108,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,stage[exercise2],0.15242197318968873,0.15097140440905843,1.0096082353231608,0.31642666142857967,-0.14908874163882155,0.45393268801819897,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,group[nonathlete_high_hr]:stage[exercise1],-0.24430886405570632,0.20910666140555462,-1.1683456778159655,0.246934745549203,-0.6619237044460305,0.17330597633461794,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,group[nonathlete_high_hr]:stage[exercise2],-0.3493446426768057,0.2058477305055596,-1.6971022309491555,0.09446121710379576,-0.7604509486259199,0.06176166327230842,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,group[nonathlete_low_hr]:stage[exercise1],-0.20437012974261368,0.18539376616326977,-1.1023570747391371,0.2743714150210958,-0.5746270481268425,0.16588678864161513,198,66,0.08032889258937392,0.3450169532927018
G_lite,3,group[nonathlete_low_hr]:stage[exercise2],-0.03148363287639623,0.22468025698144276,-0.1401263880475114,0.8889934474510012,-0.48020109136129263,0.4172338256085002,198,66,0.08032889258937392,0.3450169532927018
G_lite,4,Intercept,0.022507271743771644,0.14270985906128736,0.1577135027097588,0.8751714805459961,-0.2625039976888054,0.3075185411763487,198,66,0.12987138822197108,0.49349596541605434
G_lite,4,group[nonathlete_high_hr],-0.1544346027545703,0.17845028926369455,-0.8654208597351363,0.3899907995979783,-0.5108244402066132,0.20195523469747265,198,66,0.12987138822197108,0.49349596541605434
G_lite,4,group[nonathlete_low_hr],-0.3125666911257083,0.20915574236829196,-1.494420796610619,0.1399047511492336,-0.7302795529672956,0.10514617071587906,198,66,0.12987138822197108,0.49349596541605434
G_lite,4,stage[exercise1],0.33001202292029613,0.14432935988534482,2.286520380762844,0.025490247605438974,0.041766386999321836,0.6182576588412705,198,66,0.12987138822197108,0.49349596541605434
G_lite,4,stage[exercise2],0.4549318553530286,0.16449238329438143,2.765671250193186,0.00738666189935627,0.12641788103407192,0.7834458296719853,198,66,0.12987138822197108,0.49349596541605434
G_lite,4,group[nonathlete_high_hr]:stage[exercise1],-0.1781902664315094,0.1877478176409152,-0.9490936761369686,0.3460884758169921,-0.55314855026005,0.1967680173970313,198,66,0.12987138822197108,0.49349596541605434
